연도,총인구,남자,여자
2020,51836239,25925697,25910542
2021,51744876,25857805,25887071
2022,51628117,25790370,25837747
2023,51558034,25749708,25808326
2024,51500029,25714669,25785360
2025,51447504,25682920,25764584
2026,51397309,25652688,25744621
2027,51348388,25623449,25724939
2028,51300095,25594665,25705430
2029,51250905,25565335,25685570
2030,51199019,25534271,25664748
2031,51142848,25500682,25642166
2032,51082971,25465537,25617434
2033,51018619,25428194,25590425
2034,50947857,25387227,25560630
2035,50868691,25341396,25527295
2036,50774771,25287787,25486984
2037,50660209,25223712,25436497
2038,50524704,25148717,25375987
2039,50368731,25062989,25305742
2040,50193281,24967438,25225843
2041,49998451,24862101,25136350
2042,49784159,24747027,25037132
2043,49551362,24623212,24928150
2044,49300187,24490787,24809400
2045,49029906,24349262,24680644
2046,48739019,24198149,24540870
2047,48426874,24037198,24389676
2048,48093212,23866435,24226777
2049,47737283,23685828,24051455
2050,47358532,23495017,23863515
2051,46957061,23293951,23663110
2052,46534046,23083114,23450932
2053,46090617,22863378,23227239
2054,45628975,22635845,22993130
2055,45151722,22401355,22750367
2056,44660957,22161137,22499820
2057,44159136,21916651,22242485
2058,43649074,21668900,21980174
2059,43134131,21419386,21714745
2060,42617053,21169626,21447427
2061,42099995,20920520,21179475
2062,41585534,20673019,20912515
2063,41074913,20427643,20647270
2064,40569298,20184891,20384407
2065,40069340,19944832,20124508
2066,39574865,19707593,19867272
2067,39085966,19473353,19612613
2068,38602940,19242034,19360906
2069,38126347,19013814,19112533
2070,37655867,18788054,18867813
